,keyword,identity,general,labeller,label
699,full of white trash,1,0,A3,identity
700,bestial,0,1,A3,general
701,trash with,0,1,A3,general
702,biatch,1,0,A3,identity
703,pissflaps,0,1,A3,general
704,ballbag,0,1,A3,general
705,blowjobs,0,1,A3,general
706,cock-sucker,0,1,A3,general
707,dirsa,0,1,A3,general
708,faggots like,1,0,A3,identity
709,many niggers are,1,0,A3,identity
710,ballsack,0,1,A3,general
711,cnut,1,0,A3,identity
712,shitings,0,1,A3,general
713,breasts,1,0,A3,identity
714,fistfucked,0,1,A3,general
715,them white,1,0,A3,identity
716,hate all,0,1,A3,general
717,bitching,0,1,A3,general
718,tw4t,1,0,A3,identity
719,willy,0,1,A3,general
720,niggas,1,0,A3,identity
721,nigga you a lame,1,0,A3,identity
722,tits,0,1,A3,general
723,kill all,0,1,A3,general
724,is a nigger,1,0,A3,identity
725,fag but,1,0,A3,identity
726,fukwhit,0,1,A3,general
727,what a fag,1,0,A3,identity
728,booooobs,1,0,A3,identity
729,muther,0,1,A3,general
730,fuckhead,0,1,A3,general
731,cocksuck,0,1,A3,general
